# nu(cm-1)        I       SG
      1407  0.62326  0.62339
      1408  0.62825  0.62333
      1409  0.62606  0.62329
      1410  0.62458  0.62336
      1411  0.62727  0.62329
      1412  0.62931  0.62307
      1413  0.62375  0.62303
      1414  0.62434  0.62309
      1415  0.63027  0.62304
      1416  0.62220  0.62300
      1417  0.61984  0.62306
      1418  0.62353  0.62301
      1419  0.62115  0.62293
      1420  0.62277  0.62297
      1421  0.62504  0.62301
      1422  0.62135  0.62303
      1423  0.61451  0.62300
      1424  0.61876  0.62300
      1425  0.62642  0.62310
      1426  0.62125  0.62323
      1427  0.61945  0.62337
      1428  0.62124  0.62337
      1429  0.62298  0.62336
      1430  0.62929  0.62342
      1431  0.62568  0.62362
      1432  0.61446  0.62385
      1433  0.61403  0.62389
      1434  0.62287  0.62376
      1435  0.62722  0.62366
      1436  0.62121  0.62375
      1437  0.61957  0.62393
      1438  0.62554  0.62410
      1439  0.63165  0.62411
      1440  0.62929  0.62405
      1441  0.62591  0.62405
      1442  0.62422  0.62411
      1443  0.62366  0.62434
      1444  0.62660  0.62462
      1445  0.62741  0.62482
      1446  0.62606  0.62510
      1447  0.62873  0.62530
      1448  0.62638  0.62560
      1449  0.62357  0.62605
      1450  0.62778  0.62653
      1451  0.62769  0.62698
      1452  0.62627  0.62715
      1453  0.62797  0.62729
      1454  0.62954  0.62759
      1455  0.62807  0.62789
      1456  0.62479  0.62813
      1457  0.62422  0.62828
      1458  0.62971  0.62838
      1459  0.63203  0.62845
      1460  0.62758  0.62863
      1461  0.62688  0.62891
      1462  0.62987  0.62907
      1463  0.63115  0.62922
      1464  0.62780  0.62939
      1465  0.62664  0.62948
      1466  0.62603  0.62969
      1467  0.62473  0.62995
      1468  0.62832  0.63003
      1469  0.63368  0.63008
      1470  0.63405  0.63034
      1471  0.62771  0.63076
      1472  0.62745  0.63103
      1473  0.63409  0.63119
      1474  0.64012  0.63145
      1475  0.63983  0.63190
      1476  0.63764  0.63229
      1477  0.63455  0.63260
      1478  0.62951  0.63299
      1479  0.63295  0.63332
      1480  0.63527  0.63361
      1481  0.63115  0.63394
      1482  0.63852  0.63425
      1483  0.63780  0.63469
      1484  0.62585  0.63514
      1485  0.62416  0.63537
      1486  0.63137  0.63566
      1487  0.63791  0.63604
      1488  0.63742  0.63638
      1489  0.63361  0.63685
      1490  0.63177  0.63739
      1491  0.63569  0.63785
      1492  0.64375  0.63831
      1493  0.64383  0.63884
      1494  0.63852  0.63951
      1495  0.63728  0.64018
      1496  0.64045  0.64072
      1497  0.64206  0.64122
      1498  0.64087  0.64180
      1499  0.64241  0.64248
      1500  0.64832  0.64303
      1501  0.65163  0.64351
      1502  0.64772  0.64417
      1503  0.64562  0.64478
      1504  0.64583  0.64523
      1505  0.64507  0.64571
      1506  0.64242  0.64645
      1507  0.64355  0.64709
      1508  0.64731  0.64751
      1509  0.64874  0.64802
      1510  0.64776  0.64886
      1511  0.64927  0.64976
      1512  0.65129  0.65052
      1513  0.64700  0.65133
      1514  0.64908  0.65215
      1515  0.65499  0.65305
      1516  0.65556  0.65393
      1517  0.65639  0.65462
      1518  0.65437  0.65546
      1519  0.65284  0.65638
      1520  0.66140  0.65703
      1521  0.66448  0.65768
      1522  0.66269  0.65860
      1523  0.66445  0.65974
      1524  0.66211  0.66088
      1525  0.66205  0.66191
      1526  0.66588  0.66282
      1527  0.66417  0.66369
      1528  0.66059  0.66478
      1529  0.66019  0.66596
      1530  0.66375  0.66704
      1531  0.66673  0.66820
      1532  0.66927  0.66955
      1533  0.67025  0.67093
      1534  0.66781  0.67214
      1535  0.67239  0.67339
      1536  0.67545  0.67478
      1537  0.66750  0.67609
      1538  0.66860  0.67736
      1539  0.68023  0.67879
      1540  0.68739  0.68037
      1541  0.67769  0.68183
      1542  0.67756  0.68311
      1543  0.68915  0.68442
      1544  0.69439  0.68589
      1545  0.68823  0.68739
      1546  0.68819  0.68876
      1547  0.69655  0.69010
      1548  0.69403  0.69166
      1549  0.69042  0.69310
      1550  0.69181  0.69454
      1551  0.69696  0.69627
      1552  0.70492  0.69805
      1553  0.70837  0.69987
      1554  0.70784  0.70172
      1555  0.71169  0.70353
      1556  0.71152  0.70567
      1557  0.70750  0.70805
      1558  0.70597  0.71042
      1559  0.70742  0.71278
      1560  0.71047  0.71510
      1561  0.71589  0.71749
      1562  0.72418  0.72002
      1563  0.72550  0.72255
      1564  0.72471  0.72508
      1565  0.72834  0.72769
      1566  0.72571  0.73032
      1567  0.72133  0.73288
      1568  0.72376  0.73546
      1569  0.73332  0.73819
      1570  0.73538  0.74091
      1571  0.73798  0.74373
      1572  0.75007  0.74665
      1573  0.75327  0.74935
      1574  0.74759  0.75219
      1575  0.74420  0.75535
      1576  0.75182  0.75851
      1577  0.76114  0.76153
      1578  0.76521  0.76459
      1579  0.76517  0.76782
      1580  0.76900  0.77121
      1581  0.77941  0.77468
      1582  0.78758  0.77825
      1583  0.78512  0.78195
      1584  0.79166  0.78564
      1585  0.79918  0.78922
      1586  0.79731  0.79275
      1587  0.80159  0.79654
      1588  0.80634  0.80054
      1589  0.80936  0.80456
      1590  0.81486  0.80855
      1591  0.81415  0.81266
      1592  0.81192  0.81673
      1593  0.81593  0.82068
      1594  0.82380  0.82473
      1595  0.82940  0.82897
      1596  0.83179  0.83335
      1597  0.83472  0.83783
      1598  0.83889  0.84247
      1599  0.84041  0.84722
      1600  0.84019  0.85202
      1601  0.84711  0.85672
      1602  0.85857  0.86124
      1603  0.86620  0.86563
      1604  0.86632  0.86999
      1605  0.86971  0.87442
      1606  0.87492  0.87882
      1607  0.87967  0.88325
      1608  0.88697  0.88788
      1609  0.88686  0.89251
      1610  0.88804  0.89695
      1611  0.90106  0.90118
      1612  0.90491  0.90533
      1613  0.90836  0.90957
      1614  0.91848  0.91390
      1615  0.92310  0.91815
      1616  0.92054  0.92226
      1617  0.92038  0.92644
      1618  0.92826  0.93069
      1619  0.93208  0.93460
      1620  0.93877  0.93845
      1621  0.94737  0.94231
