# nu(cm-1)        I      fit    const
      1188  1.24455  1.24681  1.00000
      1189  1.24940  1.24679  1.00000
      1190  1.25041  1.24674  1.00000
      1191  1.24752  1.24655  1.00000
      1192  1.24867  1.24632  1.00000
      1193  1.25161  1.24651  1.00000
      1194  1.25116  1.24650  1.00000
      1195  1.24691  1.24626  1.00000
      1196  1.24626  1.24655  1.00000
      1197  1.24737  1.24661  1.00000
      1198  1.24795  1.24634  1.00000
      1199  1.24880  1.24622  1.00000
      1200  1.24776  1.24621  1.00000
      1201  1.24681  1.24626  1.00000
      1202  1.24843  1.24639  1.00000
      1203  1.24744  1.24662  1.00000
      1204  1.24707  1.24678  1.00000
      1205  1.24929  1.24685  1.00000
      1206  1.24708  1.24698  1.00000
      1207  1.24563  1.24707  1.00000
      1208  1.24743  1.24712  1.00000
      1209  1.24800  1.24716  1.00000
      1210  1.24893  1.24703  1.00000
      1211  1.24959  1.24687  1.00000
      1212  1.24832  1.24680  1.00000
      1213  1.24769  1.24667  1.00000
      1214  1.24746  1.24645  1.00000
      1215  1.24721  1.24611  1.00000
      1216  1.24825  1.24571  1.00000
      1217  1.24763  1.24554  1.00000
      1218  1.24604  1.24553  1.00000
      1219  1.24766  1.24548  1.00000
      1220  1.24914  1.24557  1.00000
      1221  1.24819  1.24563  1.00000
      1222  1.24600  1.24553  1.00000
      1223  1.24622  1.24560  1.00000
      1224  1.24667  1.24568  1.00000
      1225  1.24589  1.24563  1.00000
      1226  1.24708  1.24557  1.00000
      1227  1.24779  1.24568  1.00000
      1228  1.24725  1.24581  1.00000
      1229  1.24733  1.24580  1.00000
      1230  1.24611  1.24585  1.00000
      1231  1.24467  1.24589  1.00000
      1232  1.24489  1.24589  1.00000
      1233  1.24489  1.24597  1.00000
      1234  1.24505  1.24584  1.00000
      1235  1.24586  1.24560  1.00000
      1236  1.24610  1.24560  1.00000
      1237  1.24441  1.24558  1.00000
      1238  1.24302  1.24525  1.00000
      1239  1.24476  1.24467  1.00000
      1240  1.24445  1.24428  1.00000
      1241  1.24445  1.24408  1.00000
      1242  1.24716  1.24392  1.00000
      1243  1.24545  1.24376  1.00000
      1244  1.24473  1.24347  1.00000
      1245  1.24660  1.24321  1.00000
      1246  1.24341  1.24323  1.00000
      1247  1.24173  1.24321  1.00000
      1248  1.24302  1.24317  1.00000
      1249  1.24300  1.24324  1.00000
      1250  1.24335  1.24329  1.00000
      1251  1.24422  1.24338  1.00000
      1252  1.24442  1.24356  1.00000
      1253  1.24347  1.24367  1.00000
      1254  1.24307  1.24371  1.00000
      1255  1.24318  1.24375  1.00000
      1256  1.24218  1.24381  1.00000
      1257  1.24312  1.24374  1.00000
      1258  1.24468  1.24379  1.00000
      1259  1.24381  1.24405  1.00000
      1260  1.24363  1.24406  1.00000
      1261  1.24436  1.24396  1.00000
      1262  1.24409  1.24387  1.00000
      1263  1.24184  1.24364  1.00000
      1264  1.24229  1.24351  1.00000
      1265  1.24458  1.24349  1.00000
      1266  1.24292  1.24341  1.00000
      1267  1.24118  1.24327  1.00000
      1268  1.24216  1.24314  1.00000
      1269  1.24456  1.24312  1.00000
      1270  1.24398  1.24320  1.00000
      1271  1.24324  1.24323  1.00000
      1272  1.24364  1.24320  1.00000
      1273  1.24155  1.24319  1.00000
      1274  1.24220  1.24315  1.00000
      1275  1.24470  1.24315  1.00000
      1276  1.24352  1.24325  1.00000
      1277  1.24286  1.24325  1.00000
      1278  1.24373  1.24322  1.00000
      1279  1.24406  1.24321  1.00000
      1280  1.24232  1.24309  1.00000
      1281  1.24066  1.24302  1.00000
      1282  1.24074  1.24303  1.00000
      1283  1.24153  1.24303  1.00000
      1284  1.24102  1.24308  1.00000
      1285  1.24047  1.24309  1.00000
      1286  1.24187  1.24297  1.00000
      1287  1.24237  1.24282  1.00000
      1288  1.24254  1.24279  1.00000
      1289  1.24323  1.24280  1.00000
      1290  1.24286  1.24264  1.00000
      1291  1.24231  1.24260  1.00000
      1292  1.24192  1.24270  1.00000
      1293  1.24106  1.24268  1.00000
      1294  1.24062  1.24255  1.00000
      1295  1.24081  1.24240  1.00000
      1296  1.24098  1.24235  1.00000
      1297  1.24062  1.24237  1.00000
      1298  1.24121  1.24223  1.00000
      1299  1.24275  1.24210  1.00000
      1300  1.24288  1.24232  1.00000
      1301  1.24260  1.24233  1.00000
      1302  1.24239  1.24200  1.00000
      1303  1.24194  1.24171  1.00000
      1304  1.24206  1.24198  1.00000
      1305  1.24207  1.24212  1.00000
      1306  1.24137  1.24200  1.00000
      1307  1.24084  1.24235  1.00000
      1308  1.24036  1.24232  1.00000
      1309  1.24028  1.24204  1.00000
      1310  1.24123  1.24214  1.00000
      1311  1.24144  1.24207  1.00000
      1312  1.24093  1.24200  1.00000
      1313  1.24101  1.24214  1.00000
      1314  1.24194  1.24216  1.00000
      1315  1.24310  1.24200  1.00000
      1316  1.24342  1.24195  1.00000
      1317  1.24222  1.24226  1.00000
      1318  1.24128  1.24224  1.00000
      1319  1.24166  1.24215  1.00000
      1320  1.24264  1.24236  1.00000
      1321  1.24253  1.24222  1.00000
      1322  1.24192  1.24200  1.00000
      1323  1.24149  1.24202  1.00000
      1324  1.23998  1.24203  1.00000
      1325  1.23926  1.24183  1.00000
      1326  1.24031  1.24177  1.00000
      1327  1.24144  1.24211  1.00000
      1328  1.24033  1.24214  1.00000
      1329  1.23901  1.24213  1.00000
      1330  1.23994  1.24234  1.00000
      1331  1.23961  1.24219  1.00000
      1332  1.23928  1.24222  1.00000
      1333  1.24011  1.24246  1.00000
      1334  1.24009  1.24236  1.00000
      1335  1.24121  1.24229  1.00000
      1336  1.24296  1.24223  1.00000
      1337  1.24274  1.24203  1.00000
      1338  1.24165  1.24206  1.00000
      1339  1.24060  1.24213  1.00000
      1340  1.23981  1.24206  1.00000
      1341  1.23928  1.24197  1.00000
      1342  1.23996  1.24180  1.00000
      1343  1.24109  1.24156  1.00000
      1344  1.24080  1.24135  1.00000
      1345  1.24112  1.24123  1.00000
      1346  1.24138  1.24120  1.00000
      1347  1.24013  1.24119  1.00000
      1348  1.23976  1.24111  1.00000
      1349  1.24027  1.24092  1.00000
      1350  1.24073  1.24066  1.00000
      1351  1.24078  1.24048  1.00000
      1352  1.24028  1.24064  1.00000
      1353  1.24067  1.24089  1.00000
      1354  1.24289  1.24093  1.00000
      1355  1.24325  1.24096  1.00000
      1356  1.24076  1.24093  1.00000
      1357  1.23841  1.24093  1.00000
      1358  1.24060  1.24119  1.00000
      1359  1.24115  1.24105  1.00000
      1360  1.23851  1.24077  1.00000
      1361  1.23811  1.24100  1.00000
      1362  1.23892  1.24126  1.00000
      1363  1.24000  1.24126  1.00000
      1364  1.24095  1.24111  1.00000
      1365  1.24090  1.24116  1.00000
